"","categories","title","times","links","summary"
"1","Economy & Business","G-20 Countries to Pledge Fair Access to Coronavirus Vaccine at Virtual Summit
","
    Nov 21, 2020
  ","https://www.voanews.com/economy-business/g-20-countries-pledge-fair-access-coronavirus-vaccine-virtual-summit","
      
            The pandemic and the twin crisis of economic recession dominated the first day of the two-day virtual summit of the top 20 industrial and emerging-market countries. It concludes Sunday under host Saudi Arabia.

“We have a duty to rise to the challenge together during this summit and give a strong message of hope and reassurance,” King Salman said as he opened the summit.

The king’s comments were made as global coronavirus cases approached 58 million and worldwide COVID-19…
    "
"2","COVID-19 Pandemic","US Minority Students Struggle With Virtual Classes During Pandemic
","
    Nov 19, 2020
  ","https://www.voanews.com/covid-19-pandemic/us-minority-students-struggle-virtual-classes-during-pandemic","
      
            A devastating new wave of U.S. coronavirus cases is forcing school districts to consider again closing classrooms and returning to remote online instruction, creating educational hurdles that can be especially severe for millions of poor and minority students.

The challenges are evident to students like Devon, who didn’t give his last name when he spoke with VOA outside Hialeah-Miami Lakes High School in south Florida, where classroom instruction is increasingly…
    "
"3","VOA News on China","Why China Jailed a Billionaire Entrepreneur and Seized His Company  
","
    Nov 18, 2020
  ","https://www.voanews.com/east-asia-pacific/voa-news-china/why-china-jailed-billionaire-entrepreneur-and-seized-his-company","
      
            Chinese authorities seized control of agriculture conglomerate Hebei Dawu Agricultural and Animal Husbandry Group, once ranked among the largest private enterprises in China. 

Company founder and chairman Sun Dawu was arrested November 11, along with more than 20 family members and company executives. Sun was accused of ""provoking quarrels and disrupting productions."" 

Authorities have not explained why the billionaire owner was detained. Posts on Chinese social media…
    "
"4","South & Central Asia","Pakistan PM Set to Undertake Maiden Visit to Afghanistan  
","
    Nov 18, 2020
  ","https://www.voanews.com/south-central-asia/pakistan-pm-set-undertake-maiden-visit-afghanistan","
      
            Pakistani Prime Minister Imran Khan will travel Thursday to neighboring Afghanistan for meetings that officials say will focus on strengthening economic cooperation and matters related to U.S.-backed peace efforts aimed at ending the Afghan conflict.

Khan, who assumed power two years ago, is undertaking his first official visit to Kabul at the invitation of Afghan President Ashraf Ghani amid relatively improved relations that have long suffered from mutual mistrust and…
    "
"5","2020 USA Votes","Saudis, Israel, India Join World Leaders in Congratulating Biden, Harris
","
    Nov 7, 2020
  ","https://www.voanews.com/2020-usa-votes/saudis-israel-india-join-world-leaders-congratulating-biden-harris","
      
            Saudi Arabia’s King Salman bin Abdulaziz and his son Crown Prince Mohammed bin Salman on Sunday joined other Arab countries in congratulating U.S. President-elect Joe Biden and Vice President-elect Kamala Harris on winning the presidential election.

""King Salman praised the distinguished, historic and close relations between the two friendly countries and their people which everyone looks to strengthen and develop at all levels,"" state news agency SPA said.

While Crown…
    "
"6","Europe","In Belarus’ Poisoned Lands, Hunger Drives Decisions 
","
    Nov 2, 2020
  ","https://www.voanews.com/episode/belarus-poisoned-lands-hunger-drives-decisions-4468291","
      
            Areas of the country’s south were among the worst hit by 1986 Chernobyl disaster, Some have been defying orders to stay away
      
    "
"7","East Asia Pacific","Philippines Evacuates Nearly 1M as 2020's Strongest Typhoon Approaches
","
    Oct 31, 2020
  ","https://www.voanews.com/east-asia-pacific/philippines-evacuates-nearly-1m-2020s-strongest-typhoon-approaches","
      
            Nearly a million residents were evacuated in the Philippines on Saturday as Super Typhoon Goni, this year's strongest, hit the country, with authorities fearing destructive winds and flooding.

A few hours before making landfall, Goni strengthened further, moving into the super-typhoon category.

It was expected to reach the island of Catanduanes on Sunday morning with winds of up to 215 kph (134 mph), before crossing the country's main island, Luzon, the meteorological…
    "
"8","Arts & Culture","Former James Bond Actor Sean Connery Dies Aged 90 
","
    Oct 31, 2020
  ","https://www.voanews.com/arts-culture/former-james-bond-actor-sean-connery-dies-aged-90","
      
            Scottish movie legend Sean Connery, who shot to international stardom as the suave, sexy and sophisticated British agent James Bond and went on to grace the silver screen for four decades, has died aged 90. 

The BBC and Sky News reported his death on Saturday. “I was heartbroken to learn this morning of the passing of Sir Sean Connery. Our nation today mourns one of her best loved sons,"" said Scottish First Minster Nicola Sturgeon. ""Sean was a global legend but, first and…
    "
"9","Europe","Powerful Quake Strikes Major Turkish City, Greek Islands 
","
    Oct 30, 2020
  ","https://www.voanews.com/europe/powerful-quake-strikes-major-turkish-city-greek-islands","
      
            Greek and Turkish rescue efforts were continuing to find survivors late Friday after a powerful earthquake shook the Aegean Sea.

Turkey’s third-largest city, Izmir, and a nearby Greek island were hit hard by the powerful earthquake, which killed more than dozen people and injured hundreds more.

Videos showed buildings violently shaking and people running into the streets in panic in Izmir, a city of 4 million.

The European-Mediterranean Seismological Center said the…
    "
"10","The Americas","Argentine Police Evict Protesters Occupying Contested Land
","
    Oct 29, 2020
  ","https://www.voanews.com/americas/argentine-police-evict-protesters-occupying-contested-land","
      
            GUERNICA, ARGENTINA — Argentine police clashed with a group of protesters on Thursday while evicting them from makeshift homes on a contested property south of the capital, Buenos Aires. Six police officers were injured and at least 30 people were arrested, according to authorities.  

Hundreds of families had been living in shacks on the land in the town of Guernica for more than three months, in a reflection of the growing poverty and lack of housing for many people in…
    "
